hgnc_symbol	gene_biotype	ensembl_gene_id	kegg	GO_category	Description	Cluster
TBPL1	protein_coding	ENSG00000028839	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
SARS1	protein_coding	ENSG00000031698	No_kegg	NA	NA	AD_cluster1
TMSB10	protein_coding	ENSG00000034510	No_kegg	NA	NA	AD_cluster1
GABARAPL2	protein_coding	ENSG00000034713	No_kegg	NA	NA	AD_cluster1
RPL26L1	protein_coding	ENSG00000037241	No_kegg	NA	NA	AD_cluster1
MAT2B	protein_coding	ENSG00000038274	No_kegg	NA	NA	AD_cluster1
PSMA4	protein_coding	ENSG00000041357	kegg	NA	NA	AD_cluster1
XK	protein_coding	ENSG00000047597	No_kegg	NA	NA	AD_cluster1
WWC3	protein_coding	ENSG00000047644	No_kegg	NA	NA	AD_cluster1
SNX29	protein_coding	ENSG00000048471	No_kegg	NA	NA	AD_cluster1
MRPS10	protein_coding	ENSG00000048544	No_kegg	gene expression	mitochondrial gene expression,mitochondrial translation	AD_cluster1
MAPK9	protein_coding	ENSG00000050748	kegg	NA	NA	AD_cluster1
MSMO1	protein_coding	ENSG00000052802	No_kegg	NA	NA	AD_cluster1
AP5M1	protein_coding	ENSG00000053770	No_kegg	NA	NA	AD_cluster1
OPN3	protein_coding	ENSG00000054277	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
TBC1D22A	protein_coding	ENSG00000054611	No_kegg	NA	NA	AD_cluster1
HPF1	protein_coding	ENSG00000056050	No_kegg	NA	NA	AD_cluster1
TRAF3IP2	protein_coding	ENSG00000056972	No_kegg	NA	NA	AD_cluster1
PITHD1	protein_coding	ENSG00000057757	No_kegg	NA	NA	AD_cluster1
NCKAP1	protein_coding	ENSG00000061676	No_kegg	NA	NA	AD_cluster1
MRPS35	protein_coding	ENSG00000061794	No_kegg	gene expression	mitochondrial gene expression,mitochondrial translation	AD_cluster1
GUCY1B1	protein_coding	ENSG00000061918	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
SFSWAP	protein_coding	ENSG00000061936	No_kegg	NA	NA	AD_cluster1
BICRA	protein_coding	ENSG00000063169	No_kegg	NA	NA	AD_cluster1
DDX20	protein_coding	ENSG00000064703	No_kegg	NA	NA	AD_cluster1
ANKS1A	protein_coding	ENSG00000064999	No_kegg	NA	NA	AD_cluster1
OAT	protein_coding	ENSG00000065154	No_kegg	NA	NA	AD_cluster1
KARS1	protein_coding	ENSG00000065427	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
ZC3H15	protein_coding	ENSG00000065548	No_kegg	NA	NA	AD_cluster1
SLC9A7	protein_coding	ENSG00000065923	No_kegg	NA	NA	AD_cluster1
THUMPD1	protein_coding	ENSG00000066654	No_kegg	NA	NA	AD_cluster1
IDI1	protein_coding	ENSG00000067064	No_kegg	NA	NA	AD_cluster1
PDK3	protein_coding	ENSG00000067992	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
VPS35	protein_coding	ENSG00000069329	No_kegg	Apoptosis	apoptotic mitochondrial changes	AD_cluster1
DNAJA2	protein_coding	ENSG00000069345	No_kegg	NA	NA	AD_cluster1
FUNDC1	protein_coding	ENSG00000069509	No_kegg	NA	NA	AD_cluster1
MAPK6	protein_coding	ENSG00000069956	No_kegg	NA	NA	AD_cluster1
PFN2	protein_coding	ENSG00000070087	No_kegg	NA	NA	AD_cluster1
SMG6	protein_coding	ENSG00000070366	No_kegg	NA	NA	AD_cluster1
ZXDC	protein_coding	ENSG00000070476	No_kegg	NA	NA	AD_cluster1
ASNS	protein_coding	ENSG00000070669	No_kegg	NA	NA	AD_cluster1
AP3M2	protein_coding	ENSG00000070718	No_kegg	NA	NA	AD_cluster1
CFAP20	protein_coding	ENSG00000070761	No_kegg	NA	NA	AD_cluster1
CDC42	protein_coding	ENSG00000070831	No_kegg	NA	NA	AD_cluster1
ATP2B1	protein_coding	ENSG00000070961	No_kegg	NA	NA	AD_cluster1
SLC6A15	protein_coding	ENSG00000072041	No_kegg	NA	NA	AD_cluster1
RDH11	protein_coding	ENSG00000072042	No_kegg	NA	NA	AD_cluster1
CHFR	protein_coding	ENSG00000072609	No_kegg	NA	NA	AD_cluster1
STK10	protein_coding	ENSG00000072786	No_kegg	NA	NA	AD_cluster1
SCARB1	protein_coding	ENSG00000073060	No_kegg	NA	NA	AD_cluster1
NSF	protein_coding	ENSG00000073969	No_kegg	NA	NA	AD_cluster1
DPP8	protein_coding	ENSG00000074603	No_kegg	NA	NA	AD_cluster1
ZNF532	protein_coding	ENSG00000074657	No_kegg	NA	NA	AD_cluster1
ACTR6	protein_coding	ENSG00000075089	No_kegg	NA	NA	AD_cluster1
TIPIN	protein_coding	ENSG00000075131	No_kegg	NA	NA	AD_cluster1
SLC25A3	protein_coding	ENSG00000075415	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
UBE2T	protein_coding	ENSG00000077152	No_kegg	NA	NA	AD_cluster1
SLC25A43	protein_coding	ENSG00000077713	No_kegg	NA	NA	AD_cluster1
UBE2A	protein_coding	ENSG00000077721	No_kegg	NA	NA	AD_cluster1
MAP2	protein_coding	ENSG00000078018	No_kegg	NA	NA	AD_cluster1
VDAC3	protein_coding	ENSG00000078668	kegg	NA	NA	AD_cluster1
DDX1	protein_coding	ENSG00000079785	No_kegg	NA	NA	AD_cluster1
PCNP	protein_coding	ENSG00000081154	No_kegg	NA	NA	AD_cluster1
C5orf22	protein_coding	ENSG00000082213	No_kegg	NA	NA	AD_cluster1
ZNF586	protein_coding	ENSG00000083828	No_kegg	NA	NA	AD_cluster1
FAM234B	protein_coding	ENSG00000084444	No_kegg	NA	NA	AD_cluster1
AK6	protein_coding	ENSG00000085231	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
SEH1L	protein_coding	ENSG00000085415	No_kegg	NA	NA	AD_cluster1
WDR47	protein_coding	ENSG00000085433	No_kegg	NA	NA	AD_cluster1
RRN3	protein_coding	ENSG00000085721	No_kegg	NA	NA	AD_cluster1
DDHD2	protein_coding	ENSG00000085788	No_kegg	NA	NA	AD_cluster1
CHMP5	protein_coding	ENSG00000086065	No_kegg	NA	NA	AD_cluster1
EPDR1	protein_coding	ENSG00000086289	No_kegg	NA	NA	AD_cluster1
KLHL42	protein_coding	ENSG00000087448	No_kegg	NA	NA	AD_cluster1
RFX2	protein_coding	ENSG00000087903	No_kegg	NA	NA	AD_cluster1
ATRN	protein_coding	ENSG00000088812	No_kegg	NA	NA	AD_cluster1
PXN	protein_coding	ENSG00000089159	No_kegg	NA	NA	AD_cluster1
TRMT6	protein_coding	ENSG00000089195	No_kegg	NA	NA	AD_cluster1
PEBP1	protein_coding	ENSG00000089220	No_kegg	NA	NA	AD_cluster1
IGBP1	protein_coding	ENSG00000089289	No_kegg	NA	NA	AD_cluster1
DDX24	protein_coding	ENSG00000089737	No_kegg	NA	NA	AD_cluster1
NECAP1	protein_coding	ENSG00000089818	No_kegg	NA	NA	AD_cluster1
NDUFB2	protein_coding	ENSG00000090266	kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
DLD	protein_coding	ENSG00000091140	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
TXNL1	protein_coding	ENSG00000091164	No_kegg	NA	NA	AD_cluster1
FH	protein_coding	ENSG00000091483	No_kegg	Mitochondrial energy production	aerobic electron transport chain,aerobic respiration,ATP biosynthetic process,ATP metabolic process,ATP synthesis coupled electron transport,cellular respiration,electron transport chain,energy derivation by oxidation of organic compounds,generation of precursor metabolites and energy,mitochondrial ATP synthesis coupled electron transport,mitochondrial electron transport, cytochrome c to oxygen,mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex assembly,mitochondrial respiratory chain complex I assembly,NADH dehydrogenase complex assembly,nucleoside phosphate biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,oxidative phosphorylation,proton motive force-driven ATP synthesis,proton motive force-driven mitochondrial ATP synthesis,proton transmembrane transport,purine-containing compound biosynthetic process,purine-containing compound metabolic process,purine nucleoside triphosphate biosynthetic process,purine nucleoside triphosphate metabolic process,purine nucleotide biosynthetic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate metabolic process,purine ribonucleotide biosynthetic process,purine ribonucleotide metabolic process,respiratory electron transport chain,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,ribose phosphate biosynthetic process,ribose phosphate metabolic process,tricarboxylic acid cycle	AD_cluster1
CD200	protein_coding	ENSG00000091972	No_kegg	NA	NA	AD_cluster1
TMEM14A	protein_coding	ENSG00000096092	No_kegg	Apoptosis,Others	apoptotic mitochondrial changes,mitochondrial membrane organization	AD_cluster1
